PerformanceDate,E-EM,E-GSC,E-CLC,E-US,E-CSC,E-IE,D-CB,A-CMM
2023-10-10,0.000714057,0.007128819,0.011174361,-0.001305912,0.010579285,0.012391234,0.010746322,0.000544500
2023-10-11,0.001172970,-0.002702895,0.009384992,0.000463374,-0.001778832,0.002793070,0.003899890,0.000136400
2023-10-12,0.005202728,-0.001469864,-0.006387527,-0.003763444,-0.009959987,0.003584826,-0.007623394,0.000137160
2023-10-13,-0.010879012,-0.014128561,-0.005776678,-0.000584422,-0.005921209,-0.011874614,0.004607123,0.000140430
2023-10-16,-0.001989425,0.003255857,0.007321490,0.006568239,0.010079274,-0.002110910,-0.002857668,0.000412080
2023-10-17,0.005279497,0.001547077,0.000355088,0.000883856,-0.000186419,0.004171936,-0.001814147,0.000137400
2023-10-18,-0.008158161,-0.009322392,-0.013133653,-0.008199051,-0.011609505,-0.008426704,-0.001575278,0.000137240
2023-10-19,-0.005650477,0.000311173,-0.006090488,-0.002003901,-0.006479232,-0.005922123,-0.005358664,0.000137190
2023-10-20,-0.003591093,-0.013199713,-0.010881475,-0.011938848,-0.005551565,-0.010355932,0.004072301,0.000137180
2023-10-23,-0.004679595,-0.004547337,-0.003685500,-0.002556430,-0.006323739,0.001452481,0.005953524,0.000397600
2023-10-24,0.005671543,0.000665435,-0.001795665,0.009329282,0.000056004,0.001860029,0.001326734,0.000133040
2023-10-25,0.006084310,-0.007015725,-0.000484303,-0.004729040,-0.002229006,0.002516676,-0.006197933,0.000134730
2023-10-26,-0.005195002,-0.003694810,-0.000397129,-0.000804145,-0.003515764,-0.007087505,0.008008313,0.000133070
2023-10-27,0.005369403,0.002346887,-0.009991043,-0.007110325,-0.000872183,0.002174397,0.002552137,0.000133330
2023-10-30,-0.001051926,0.001632969,0.013570539,0.008946403,0.008253402,0.003583821,-0.004302906,0.000400480
2023-10-31,-0.001856829,0.010904041,0.000769490,0.011471686,0.006727932,0.004027985,-0.001509030,0.000132540
2023-11-01,0.003560080,0.006757691,0.012325624,0.005309884,0.007851845,0.005928169,0.008879771,0.000132400
2023-11-02,0.006329331,0.008425132,0.018891385,0.007529106,0.020299042,0.011877514,0.005539768,0.000132800
2023-11-03,0.004163903,0.011137731,0.007723575,-0.000921083,0.026742220,-0.000914742,0.008615149,0.000155680
2023-11-06,0.012108555,-0.002306984,-0.001841282,0.001280439,-0.001859261,0.003267446,-0.004297707,0.000419320
2023-11-07,0.002312692,0.001297919,-0.007709179,0.010080494,-0.002416238,-0.000303608,0.003396864,0.000141480
2023-11-08,0.001682043,0.007473919,-0.000299878,0.006355661,0.003791868,0.006538753,0.003347795,0.000141610
2023-11-09,-0.003931557,0.006345105,0.004391377,-0.010196562,0.000019531,0.009770204,-0.009347211,0.000144070
2023-11-10,0.004001179,0.000944156,-0.001057008,0.018132164,0.001450187,-0.001293394,0.001645484,0.000146770
2023-11-13,0.001551006,-0.001628547,0.003673635,-0.004761305,0.000080260,0.006388389,0.000296178,0.000417870
2023-11-14,0.005308889,0.025043071,0.014140566,0.005109743,0.015571994,0.011081235,0.011445227,0.000138690
2023-11-15,0.006950228,-0.000378086,0.002149030,-0.005011509,0.007005077,0.003484996,-0.005689638,0.000138680
2023-11-16,0.008947653,-0.002662960,0.002013207,0.012192317,-0.001635158,0.002541608,0.004115336,0.000138890
2023-11-17,-0.000143547,0.013887409,0.002803693,-0.001543668,0.001726939,0.005863400,0.000997419,0.000138580
2023-11-20,0.005964058,0.007675030,0.002651699,0.004101041,0.005711494,0.002118423,0.002856765,0.000415060
2023-11-21,0.001186308,-0.007119646,-0.007130312,0.001461492,-0.007222097,-0.001316724,0.001018686,0.000138650
2023-11-22,0.002442186,0.003331273,0.001004732,0.010826826,0.001194437,0.000064935,0.000711224,0.000139980
2023-11-23,0.000357005,-0.001043965,-0.000198208,-0.003308821,0.002940889,0.003635401,-0.003065771,0.000138330
2023-11-24,-0.010216071,-0.002724369,-0.000928076,-0.004888920,0.002437758,-0.003151542,0.000409869,0.000138790
2023-11-27,0.001206630,0.001004775,-0.005113383,0.000207085,0.002086485,-0.002994196,0.005747312,0.000416750
2023-11-28,0.000494314,-0.002302346,-0.003750019,-0.006542052,0.001359451,-0.003249304,0.003912962,0.000138420
