PerformanceDate,E-EM,E-GSC,E-CLC,E-US,E-CSC,E-IE,D-CB,A-CMM
2019-02-20,11.4884,14.6739,68.1235,49.8452,74.6951,56.5454,12.0783,10
2019-02-21,11.5307,14.6998,67.9083,49.9397,74.6177,56.6082,12.0583,10
2019-02-22,11.6116,14.7369,67.8967,50.2448,74.5321,56.775,12.0793,10
2019-02-25,11.7029,14.7573,68.1094,50.258,74.6015,56.695,12.0858,10
2019-02-26,11.6669,14.8392,68.1711,50.1863,74.7706,56.8717,12.1105,10
2019-02-27,11.6343,14.8187,68.2899,50.1954,74.3442,56.5271,12.0809,10
2019-02-28,11.6139,14.8463,68.0187,50.2542,74.3639,56.6418,12.0362,10
2019-03-01,11.7236,14.9957,68.2622,51.1372,74.9528,57.4001,12.0329,10
2019-03-04,11.7615,15.0271,68.2397,51.0848,74.6614,57.6245,12.0683,10
2019-03-05,11.7889,15.0601,68.2334,51.1629,74.6344,57.4111,12.0817,10
2019-03-06,11.869,15.1536,68.2718,51.1957,74.3662,57.7616,12.1297,10
2019-03-07,11.7778,14.9758,68.1425,50.8414,73.9624,57.1952,12.1708,10
2019-03-08,11.6969,14.8981,67.7797,50.778,73.4439,56.8784,12.1633,10
2019-03-11,11.7869,15.0573,68.3346,51.3657,73.7523,57.2585,12.1754,10
2019-03-12,11.8617,15.1149,68.2773,51.3827,73.576,57.4839,12.2032,10
2019-03-13,11.8533,15.1177,68.4095,51.4668,73.5469,57.5535,12.1855,10
2019-03-14,11.845,15.152,68.263,51.5082,73.4269,57.7395,12.1838,10
2019-03-15,11.9464,15.3405,68.565,51.8641,73.5819,58.3342,12.219,10
2019-03-18,12.0596,15.3825,69.0769,51.9095,73.8241,58.4766,12.2322,10
2019-03-19,12.0193,15.3962,68.7337,51.7121,73.7282,58.283,12.2289,10
2019-03-20,12.0557,15.3423,68.5595,51.62,73.633,58.0222,12.2665,10
2019-03-21,12.076,15.3776,68.9843,52.3362,74.3728,58.2049,12.2729,10
2019-03-22,12.0523,15.34,68.2922,51.5242,73.7465,57.8478,12.337,10
2019-03-25,11.9361,15.2751,68.0649,51.6571,73.528,57.524,12.367,10
2019-03-26,11.9656,15.2842,68.3783,52.0201,73.8506,57.8361,12.364,10
2019-03-27,11.9393,15.3005,68.4551,52.0403,74.0733,57.874,12.3843,10
2019-03-28,11.9589,15.3116,68.9122,52.2685,74.7176,57.8487,12.3703,10
